TS,Home Office Energy,Total Energy
2016-02-07 08:00:00,0.0015776252905366276,0.010140374108585523
2016-02-07 09:00:00,0.002232782020388325,0.012822803918479094
2016-02-07 10:00:00,0.0029014669591969438,0.015468229993712916
2016-02-07 11:00:00,0.0035734278825629642,0.018212274785888136
2016-02-07 12:00:00,0.004246919253260095,0.021452113604586237
2016-02-07 13:00:00,0.004919853990217493,0.024285059068603457
2016-02-07 14:00:00,0.005595746804139963,0.02715824170658384
2016-02-07 15:00:00,0.006267810545203132,0.03038193814682972
2016-02-07 16:00:00,0.006943535541734856,0.035591591498240566
2016-02-07 17:00:00,0.007624439241127523,0.041891110075794026
2016-02-07 18:00:00,0.008339093145062143,0.05258684393011678
2016-02-07 19:00:00,0.009021666745674006,0.06587919736246861
2016-02-07 20:00:00,0.009698702372391212,0.07437565476573454
2016-02-07 21:00:00,0.010372094470829027,0.08203943891230399
2016-02-07 22:00:00,0.011110345627165398,0.09622241932816539
2016-02-07 23:00:00,0.011797243480120527,0.1092661962050045
2016-02-08 00:00:00,0.01247063203312051,0.11690360347591137
2016-02-08 01:00:00,0.013143459225130317,0.12273164973047418
2016-02-08 02:00:00,0.013819287039359187,0.12879453633257326
2016-02-08 03:00:00,0.014492415593584773,0.13483454895158845
2016-02-08 04:00:00,0.015164255972064482,0.1413125188697619
2016-02-08 05:00:00,0.01583948342548702,0.14778586317337633
2016-02-08 06:00:00,0.016513455793916783,0.1553695665156189
2016-02-08 07:00:00,0.01718630662217881,0.159565529554535
2016-02-08 08:00:00,0.017851333850956705,0.16238425426740533
2016-02-08 09:00:00,0.018505201223249917,0.16510693661482598
2016-02-08 10:00:00,0.019169479182832506,0.16784594570346617
2016-02-08 11:00:00,0.01983798566793688,0.1705991117253723
2016-02-08 12:00:00,0.020506760424503924,0.1737179672052804
2016-02-08 13:00:00,0.0211731845557879,0.1820569894415859
2016-02-08 14:00:00,0.02183936287004881,0.19005083848681453
2016-02-08 15:00:00,0.02251120561215374,0.19398201995569733
2016-02-08 16:00:00,0.0233341903690661,0.1980122290486849
2016-02-08 17:00:00,0.024223306996058947,0.20253878998374772
2016-02-08 18:00:00,0.025154024608767925,0.20770829716076644
2016-02-08 19:00:00,0.02597507710206147,0.2120953971168679
